TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15
FE071521A01,1.0,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,45,4.5,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
FE071521A01,1.0,"VERTEX US TAX",SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,3.75,.375,1000,N,,"SELLER_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"METROPOLITAN COMMUTER TRANSPORTATION DISTRICT",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
FE071521A01,1.0,"VERTEX US TAX",STATE,STD,ST-VTL-330000000,40,4,1000,N,,"SELLER_USE|Sales and Compensating Use Tax|General Sales and Use Tax",|CUSTLEVELREG124|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
FE071521A05,10.0,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,90,4.5,2000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
FE071521A05,10.0,"VERTEX US TAX",SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,7.5,.375,2000,N,,"SELLER_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"METROPOLITAN COMMUTER TRANSPORTATION DISTRICT",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
FE071521A05,10.0,"VERTEX US TAX",STATE,STD,ST-VTL-330000000,80,4,2000,N,,"SELLER_USE|Sales and Compensating Use Tax|General Sales and Use Tax",|CUSTLEVELREG124|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
FE071521A05,11.0,"VERTEX US TAX",CITY,STD,CI-VTL-330612010,90,4.5,2000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
FE071521A05,11.0,"VERTEX US TAX",SALES_TAX_DISTRICT_1,STD,DI-VTL-79774,7.5,.375,2000,N,,"SELLER_USE|Metropolitan Commuter Transportation District|General Sales and Use Tax",98-765432|SiteRegLevel123|||,"METROPOLITAN COMMUTER TRANSPORTATION DISTRICT",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
FE071521A05,11.0,"VERTEX US TAX",STATE,STD,ST-VTL-330000000,80,4,2000,N,,"SELLER_USE|Sales and Compensating Use Tax|General Sales and Use Tax",|CUSTLEVELREG124|||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
FE071521A06,12.0,"VERTEX US TAX",CITY,STD,CI-VTL-450190014,10,1,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|CUSTLEVELREG124|||,"CASTLE VALLEY",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
FE071521A06,12.0,"VERTEX US TAX",COUNTY,STD,CO-VTL-450190000,10,1,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|CUSTLEVELREG124|||,GRAND,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
FE071521A06,12.0,"VERTEX US TAX",STATE,STD,ST-VTL-450000000,48.5,4.85,1000,N,,"SELLER_USE|Sales and Use Tax|General Sales and Use Tax",|SiteRegLevel123|||,UTAH,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
FE071521A06,13.0,"VERTEX US TAX",CITY,STD,CI-VTL-450190014,10,1,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|CUSTLEVELREG124|||,"CASTLE VALLEY",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
FE071521A06,13.0,"VERTEX US TAX",COUNTY,STD,CO-VTL-450190000,10,1,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|CUSTLEVELREG124|||,GRAND,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
FE071521A06,13.0,"VERTEX US TAX",STATE,STD,ST-VTL-450000000,48.5,4.85,1000,N,,"SELLER_USE|Sales and Use Tax|General Sales and Use Tax",|SiteRegLevel123|||,UTAH,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
FE071521A06,14.0,"VERTEX US TAX",CITY,STD,CI-VTL-450190014,10,1,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|CUSTLEVELREG124|||,"CASTLE VALLEY",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
FE071521A06,14.0,"VERTEX US TAX",COUNTY,STD,CO-VTL-450190000,10,1,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",98-765432|CUSTLEVELREG124|||,GRAND,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
FE071521A06,14.0,"VERTEX US TAX",STATE,STD,ST-VTL-450000000,48.5,4.85,1000,N,,"SELLER_USE|Sales and Use Tax|General Sales and Use Tax",|SiteRegLevel123|||,UTAH,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,
